Company,Product,Label,PeakPerformance,Precision,Power,Technology,IorT,FormFactor,PlotLocation,Hide,PlotLocationZ,HideZ,Updated,Notes,ReferenceURL,Reference
NVIDIA,Jetson TX2,Jetson2,5.80E+11,fp16.32,12.8,GPU,inference,System,SE,,SE,,6/9/20,,https://devblogs.nvidia.com/jetson-tx2-delivers-twice-intelligence-edge/,franklin2017nvidia
NVIDIA,Jetson Xavier NX,XavierNX,6.00E+12,fp16,15,GPU,inference,System,SE,,SE,,6/29/21,,https://www.anandtech.com/show/15070/nvidia-gives-jetson-xavier-a-trim-announces-nanosized-jetson-xavier-nx,smith2019nvidia
NVIDIA,Jetson Xavier NX,XavierNX,2.10E+13,int8,15,GPU,inference,System,SE,,SE,,6/29/21,,https://www.anandtech.com/show/15070/nvidia-gives-jetson-xavier-a-trim-announces-nanosized-jetson-xavier-nx,smith2019nvidia
NVIDIA,DRIVE AGX L2,AGX-L2,2.00E+14,int8,45,GPU,inference,System,SE,,SE,,7/9/22,,https://hothardware.com/news/nvidia-drive-agx-pegasus-orin-ampere-next-gen-autonomous-cars,hill2020nvidia
NVIDIA,DRIVE AGX L5,AGX-L5,2.00E+15,int8,800,GPU,inference,System,SE,,SW,,7/9/22,,https://hothardware.com/news/nvidia-drive-agx-pegasus-orin-ampere-next-gen-autonomous-cars,hill2020nvidia
NVIDIA,L40,L40,9.05E+13,fp16,300,GPU,training,Card,SE,,SE,,7/31/23,,https://www.techpowerup.com/gpu-specs/l40.c3959,techpowerup2023nvidia
NVIDIA,Pascal P100,P100,2.12E+13,fp16.32,300,GPU,training,Card,SE,,SE,,6/29/21,,https://www.nvidia.com/en-us/data-center/tesla-p100/;https://www.anandtech.com/show/12809/16gb-nvidia-tesla-v100-gets-reprieve-remains-in-production,pascal2018nvidia;smith201816gb
NVIDIA,T4,T4,1.31E+14,int8,150,GPU,inference,Card,NW,,NW,,6/9/20,,https://devblogs.nvidia.com/nvidia-turing-architecture-in-depth/,kilgariff2018nvidia
NVIDIA,Volta V100,V100,1.25E+14,fp16.32,300,GPU,training,Card,SE,,SE,,6/9/20,,https://www.nvidia.com/en-us/data-center/tesla-v100/;https://www.anandtech.com/show/12809/16gb-nvidia-tesla-v100-gets-reprieve-remains-in-production,volta2019nvidia;smith201816gb
Perceive,Ergo,Perceive,4.00E+12,int8,7.27E-02,dataflow,inference,Chip,NW,,NW,,6/2/20,concurrent low-power video and audio processing,https://www.forbes.com/sites/tiriasresearch/2020/04/06/perceive-exits-stealth-with-super-efficient-machine-learning-chip-for-smarter-devices/#1b25ab646d9c,mcgregor2020perceive
PEZY Computing,PEZY-SC2,PEZY-SC2,8.19E+12,fp32,546.13,manycore,training,System,SE,Hide,SE,Hide,6/2/20,,https://fuse.wikichip.org/news/191/the-2048-core-pezy-sc2-sets-a-green500-record/,schor2017pezy
Preferred Networks,MN-3,PN-3,5.24E+14,fp16,500,multicore,training,Card,SE,,SE,,6/2/20,,https://projects.preferred.jp/mn-core/en/;https://www.anandtech.com/show/15177/preferred-networks-a-500-w-custom-pcie-card-using-3000-mm2-silicon,"preferred2020mncore, cutress2019preferred"
Quadric,q1-64,Quadric,6.24E+12,int8,12,dataflow,inference,Chip,SW,,SW,,6/13/20,no peak,https://quadric.io/supercomputing.pdf,firu2019quadric
Qualcomm,Cloud AI 100,Qcomm,4.00E+14,int8,75,GPU,inference,Card,NE,,NE,,7/1/21,,https://www.eetimes.com/qualcomm-cloud-ai-100-promises-impressive-performance-per-watt-for-near-edge-ai/;https://www.eetimes.com/qualcomm-targets-ai-inferencing-in-the-cloud/#,ward2020qualcomm;mcgrath2019qualcomm
Qualcomm,QRB5165,RB5,1.50E+13,int8,30,GPU,inference,System,NE,,NE,,8/2/23,30W is 12V @ 2.5A,https://www.therobotreport.com/qualcomm-robotics-rb5-platform-puts-5g-ai-in-developers-hands/,crowe2020qualcomm
Qualcomm,QRB5165N,RB6,2.00E+14,int8,30,GPU,inference,System,NE,,NE,,8/2/23,,https://www.qualcomm.com/products/internet-of-things/industrial/industrial-automation/robotics-rb6-platform,qualcomm2023robotics
Rockchip,RK3399Pro,RK3399Pro,2.40E+12,int8,3,GPU,inference,Chip,SW,,SW,,6/9/20,,https://www.rock-chips.com/a/en/News/Press_Releases/2018/0108/869.html,rockchip2018rockchip
SiMa.ai,SiMa.ai,SiMa.ai,9.12E+12,int8,4,dataflow,inference,Chip,SW,,SW,,6/14/20,no peak,https://www.linleygroup.com/uploads/sima-machine-learning-moves-to-the-edge-wp.pdf,gwennap2020machine
Stanford,EIE,EIE,1.02E+11,int16,0.6,dataflow,inference,Chip,S,Hide,S,Hide,6/15/20,,http://ieeexplore.ieee.org/document/7551397/,han2016eie
Stanford,TETRIS,Tetris,1.28E+11,int16,8.42,dataflow,inference,Chip,N,Hide,N,Hide,6/15/20,,https://dl.acm.org/doi/10.1145/3093337.3037702,gao2017tetris
Syntiant,NDP101,Syntiant,2.00E+11,int4.8,1.00E-02,PIM,inference,Chip,SE,,SE,,6/2/20,"4-bit weights, 8-bit activations",https://www.eetimes.com/tech-heavyweights-back-ai-chip-startup/;https://www.eetimes.com/document.asp?doc_id=1334301,mcgrath2018tech;merritt2018syntiant
Tachyum,Prodigy,Tachyum,1.20E+16,fp16.32,9.50E+02,CPU/GPU,training,Chip,SW,,SE,,7/6/22,,https://www.tomshardware.com/news/tachyum-teases-128-core-cpu-57-ghz-950w-16-ddr5-channels,shilov2022tachyum
Tenstorrent,Tenstorrent,Tenstorrent,3.68E+14,int8,75,multicore,inference,Card,SW,,SE,,6/13/20,,https://www.tenstorrent.com/wp-content/uploads/2020/04/Tenstorrent-Scales-AI-Performance.pdf,gwennap2020tenstorrent
Tesla,Tesla Full Self-Driving Computer,Tesla,7.20E+13,int8,72,tensor,inference,System,NW,,SE,,6/9/20,,https://doi.org/10.1109/MM.2020.2975764;https://en.wikichip.org/wiki/tesla_(car_company)/fsd_chip,talpes2020compute;wikichip2020fsd
Texas Instruments,TDA4VM,TexInst,8.00E+12,int8,20,dataflow,inference,Chip,SE,,SE,,6/29/21,Includes onboard C7x DSP,https://www.eetimes.com/tis-first-automotive-soc-with-an-ai-accelerator-launches/;https://www.ti.com/lit/gpn/tda4vm;https://www.linleygroup.com/newsletters/newsletter_detail.php?num=6130&year=2020&tag=3,ward2020ti;ti2021tda4vm;demler2020ti
Toshiba,2015,Toshiba,2.00E+13,int8,10,multicore,inference,System,NE,,NE,,6/13/20,,https://www.eetimes.com/samsung-toshiba-detail-ai-chips/,merritt2019samsung
Tsinghua,Tianjic,Tianjic,1.21E+12,int8,0.95,neuromorphic,inference,Chip,S,Hide,S,Hide,6/13/20,ANN/SNN research chip,http://www.nature.com/articles/s41586-019-1424-8,pei2019towards
Untether,TsunAImi,TsunAImi,2.00E+15,int8,400,PIM,inference,Card,SW,,SW,,9/2/21,,https://www.linleygroup.com/newsletters/hewsletter_detail.php?num=6230,gwennap2020untether
XMOS,xcore.ai,xcore.ai,5.12E+10,int8,1,dataflow,inference,Chip,SE,Hide,SE,Hide,6/5/20,,https://www.eetimes.com/xmos-adapts-xcore-into-aiot-crossover-processor/#,ward2020xmos
